區,時間,12小時降雨機率,平均溫度,平均相對濕度,最小舒適度指數,最大風速,最高體感溫度,天氣現象,最大舒適度指數,最低溫度,紫外線指數,天氣預報綜合描述,最低體感溫度,最高溫度,風向,平均露點溫度
外埔區,夜晚,10,21,82,18,4,24,多雲時晴,22,19,,多雲時晴。降雨機率 10%。溫度攝氏19至23度。稍有寒意至舒適。偏北風 風速3級(每秒4公尺)。相對濕度82%。,19,23,偏北風,18
外埔區,早上,10,17,89,16,3,19,晴時多雲,18,17,4,晴時多雲。降雨機率 10%。溫度攝氏17至19度。稍有寒意。東北風 風速2級(每秒3公尺)。相對濕度89%。,17,19,東北風,16
外埔區,夜晚,10,20,85,16,5,23,多雲,21,16,,多雲。降雨機率 10%。溫度攝氏16至22度。稍有寒意至舒適。偏北風 風速3級(每秒5公尺)。相對濕度85%。,17,22,偏北風,17
外埔區,早上,10,18,90,18,4,19,多雲,19,18,4,多雲。降雨機率 10%。溫度攝氏18至19度。稍有寒意。偏北風 風速3級(每秒4公尺)。相對濕度90%。,18,19,偏北風,17
外埔區,夜晚,10,20,85,18,5,22,陰時多雲,21,18,,陰時多雲。降雨機率 10%。溫度攝氏18至22度。稍有寒意至舒適。偏北風 風速3級(每秒5公尺)。相對濕度85%。,18,22,偏北風,18
外埔區,早上,0,18,85,17,5,18,晴時多雲,19,17,4,晴時多雲。降雨機率 0%。溫度攝氏17至19度。稍有寒意。偏北風 風速3級(每秒5公尺)。相對濕度85%。,16,19,偏北風,15
外埔區,夜晚, ,20,80,17,6,21,多雲,21,17,,多雲。溫度攝氏17至22度。稍有寒意至舒適。東北風 風速4級(每秒6公尺)。相對濕度80%。,16,22,東北風,17
外埔區,早上, ,18,85,17,8,18,多雲,19,17,4,多雲。溫度攝氏17至19度。稍有寒意。東北風 風速5級(每秒8公尺)。相對濕度85%。,14,19,東北風,15
外埔區,夜晚, ,19,83,17,9,18,晴時多雲,20,17,,晴時多雲。溫度攝氏17至21度。稍有寒意至舒適。偏北風 風速5級(每秒9公尺)。相對濕度83%。,14,21,偏北風,16
外埔區,早上, ,17,86,16,6,15,多雲時晴,18,16,4,多雲時晴。溫度攝氏16至18度。稍有寒意。東北風 風速4級(每秒6公尺)。相對濕度86%。,15,18,東北風,14
外埔區,夜晚, ,18,84,16,6,19,陰時多雲,19,16,,陰時多雲。溫度攝氏16至20度。稍有寒意。偏北風 風速4級(每秒6公尺)。相對濕度84%。,15,20,偏北風,15
外埔區,早上, ,17,88,16,4,16,多雲,17,16,3,多雲。溫度攝氏16至17度。稍有寒意。偏北風 風速3級(每秒4公尺)。相對濕度88%。,16,17,偏北風,15
外埔區,夜晚, ,19,85,16,4,22,多雲,21,16,,多雲。溫度攝氏16至21度。稍有寒意至舒適。偏北風 風速3級(每秒4公尺)。相對濕度85%。,16,21,偏北風,16
外埔區,早上, ,16,88,15,4,17,多雲,17,15,3,多雲。溫度攝氏15至18度。寒冷至稍有寒意。偏北風 風速3級(每秒4公尺)。相對濕度88%。,14,18,偏北風,14
新社區,夜晚,10,21,80,18,2,25,晴時多雲,22,18,,晴時多雲。降雨機率 10%。溫度攝氏18至23度。稍有寒意至舒適。偏北風 風速2級(每秒2公尺)。相對濕度80%。,19,23,偏北風,18
新社區,早上,10,16,91,15,1,19,晴時多雲,18,15,5,晴時多雲。降雨機率 10%。溫度攝氏15至18度。寒冷至稍有寒意。東北風 風速<= 1級(每秒1公尺)。相對濕度91%。,16,18,東北風,15
新社區,夜晚,0,19,82,15,3,24,多雲時晴,22,15,,多雲時晴。降雨機率 0%。溫度攝氏15至23度。寒冷至舒適。偏北風 風速2級(每秒3公尺)。相對濕度82%。,16,23,偏北風,16
新社區,早上,0,16,93,15,2,18,多雲,18,15,5,多雲。降雨機率 0%。溫度攝氏15至18度。寒冷至稍有寒意。偏北風 風速2級(每秒2公尺)。相對濕度93%。,16,18,偏北風,15
新社區,夜晚,0,19,83,15,6,24,多雲時晴,22,15,,多雲時晴。降雨機率 0%。溫度攝氏15至22度。寒冷至舒適。偏北風 風速4級(每秒6公尺)。相對濕度83%。,16,22,偏北風,16
新社區,早上,0,16,92,15,3,17,晴時多雲,17,15,4,晴時多雲。降雨機率 0%。溫度攝氏15至18度。寒冷至稍有寒意。東北風 風速2級(每秒3公尺)。相對濕度92%。,15,18,東北風,15
新社區,夜晚, ,19,80,15,3,23,多雲時晴,21,15,,多雲時晴。溫度攝氏15至22度。寒冷至舒適。偏北風 風速2級(每秒3公尺)。相對濕度80%。,15,22,偏北風,15
新社區,早上, ,16,92,15,5,18,多雲,17,15,4,多雲。溫度攝氏15至17度。寒冷至稍有寒意。東北風 風速3級(每秒5公尺)。相對濕度92%。,14,17,東北風,15
新社區,夜晚, ,18,83,15,4,22,晴時多雲,21,15,,晴時多雲。溫度攝氏15至21度。寒冷至舒適。偏北風 風速3級(每秒4公尺)。相對濕度83%。,14,21,偏北風,15
新社區,早上, ,15,92,14,2,17,晴時多雲,17,14,4,晴時多雲。溫度攝氏14至17度。寒冷至稍有寒意。東北風 風速2級(每秒2公尺)。相對濕度92%。,15,17,東北風,14
新社區,夜晚, ,17,85,14,3,21,多雲,19,14,,多雲。溫度攝氏14至20度。寒冷至稍有寒意。偏北風 風速2級(每秒3公尺)。相對濕度85%。,15,20,偏北風,15
新社區,早上, ,16,93,15,2,17,多雲,17,15,4,多雲。溫度攝氏15至17度。寒冷至稍有寒意。偏北風 風速2級(每秒2公尺)。相對濕度93%。,15,17,偏北風,14
新社區,夜晚, ,19,84,15,2,24,多雲時陰,21,15,,多雲時陰。溫度攝氏15至22度。寒冷至舒適。西北風 風速2級(每秒2公尺)。相對濕度84%。,15,22,西北風,16
新社區,早上, ,15,93,14,2,18,晴時多雲,17,14,4,晴時多雲。溫度攝氏14至17度。寒冷至稍有寒意。偏北風 風速2級(每秒2公尺)。相對濕度93%。,14,17,偏北風,14
豐原區,夜晚,10,23,76,20,2,27,晴時多雲,23,20,,晴時多雲。降雨機率 10%。溫度攝氏20至24度。舒適。偏北風 風速2級(每秒2公尺)。相對濕度76%。,22,24,偏北風,18
豐原區,早上,10,18,85,17,2,22,晴時多雲,20,17,4,晴時多雲。降雨機率 10%。溫度攝氏17至20度。稍有寒意至舒適。東北風 風速2級(每秒2公尺)。相對濕度85%。,19,20,東北風,16
豐原區,夜晚,0,21,79,17,3,26,多雲時晴,23,17,,多雲時晴。降雨機率 0%。溫度攝氏17至24度。稍有寒意至舒適。偏北風 風速2級(每秒3公尺)。相對濕度79%。,19,24,偏北風,17
豐原區,早上,0,19,92,18,2,21,多雲,20,18,4,多雲。降雨機率 0%。溫度攝氏18至20度。稍有寒意至舒適。偏北風 風速2級(每秒2公尺)。相對濕度92%。,20,20,偏北風,17
豐原區,夜晚,0,21,81,18,5,25,多雲,22,18,,多雲。降雨機率 0%。溫度攝氏18至23度。稍有寒意至舒適。偏北風 風速3級(每秒5公尺)。相對濕度81%。,19,23,偏北風,17
豐原區,早上,0,18,84,17,5,19,晴時多雲,19,17,4,晴時多雲。降雨機率 0%。溫度攝氏17至20度。稍有寒意。偏北風 風速3級(每秒5公尺)。相對濕度84%。,17,20,偏北風,16
豐原區,夜晚, ,21,76,17,3,25,多雲,22,17,,多雲。溫度攝氏17至24度。稍有寒意至舒適。偏北風 風速2級(每秒3公尺)。相對濕度76%。,17,24,偏北風,16
豐原區,早上, ,18,84,17,7,21,多雲時陰,19,17,4,多雲時陰。溫度攝氏17至20度。稍有寒意。東北風 風速4級(每秒7公尺)。相對濕度84%。,15,20,東北風,15
豐原區,夜晚, ,20,79,17,5,23,晴時多雲,21,17,,晴時多雲。溫度攝氏17至23度。稍有寒意至舒適。偏北風 風速3級(每秒5公尺)。相對濕度79%。,15,23,偏北風,16
豐原區,早上, ,17,83,16,3,19,晴時多雲,19,16,4,晴時多雲。溫度攝氏16至19度。稍有寒意。偏北風 風速2級(每秒3公尺)。相對濕度83%。,17,19,偏北風,15
豐原區,夜晚, ,19,80,16,3,22,多雲,20,16,,多雲。溫度攝氏16至21度。稍有寒意至舒適。偏北風 風速2級(每秒3公尺)。相對濕度80%。,17,21,偏北風,16
豐原區,早上, ,17,87,16,2,19,多雲時晴,18,16,3,多雲時晴。溫度攝氏16至18度。稍有寒意。偏北風 風速2級(每秒2公尺)。相對濕度87%。,18,18,偏北風,15
豐原區,夜晚, ,20,81,16,2,26,多雲時陰,22,16,,多雲時陰。溫度攝氏16至24度。稍有寒意至舒適。偏北風 風速2級(每秒2公尺)。相對濕度81%。,18,24,偏北風,17
豐原區,早上, ,17,87,16,2,20,多雲,19,16,4,多雲。溫度攝氏16至19度。稍有寒意。偏北風 風速2級(每秒2公尺)。相對濕度87%。,16,19,偏北風,15
后里區,夜晚,10,22,82,19,3,25,多雲時晴,22,19,,多雲時晴。降雨機率 10%。溫度攝氏19至23度。稍有寒意至舒適。偏北風 風速2級(每秒3公尺)。相對濕度82%。,20,23,偏北風,18
后里區,早上,10,18,89,17,2,20,晴時多雲,19,17,4,晴時多雲。降雨機率 10%。溫度攝氏17至19度。稍有寒意。偏北風 風速2級(每秒2公尺)。相對濕度89%。,18,19,偏北風,16
后里區,夜晚,0,20,84,17,4,24,多雲,22,17,,多雲。降雨機率 0%。溫度攝氏17至23度。稍有寒意至舒適。偏北風 風速3級(每秒4公尺)。相對濕度84%。,18,23,偏北風,17
后里區,早上,0,18,95,18,2,21,多雲,19,18,4,多雲。降雨機率 0%。溫度攝氏18至20度。稍有寒意。偏北風 風速2級(每秒2公尺)。相對濕度95%。,19,20,偏北風,17
后里區,夜晚,0,20,86,17,4,24,陰時多雲,22,18,,陰時多雲。降雨機率 0%。溫度攝氏18至22度。稍有寒意至舒適。偏北風 風速3級(每秒4公尺)。相對濕度86%。,19,22,偏北風,18
后里區,早上,0,18,88,17,4,19,晴時多雲,19,17,4,晴時多雲。降雨機率 0%。溫度攝氏17至19度。稍有寒意。偏北風 風速3級(每秒4公尺)。相對濕度88%。,17,19,偏北風,16
后里區,夜晚, ,20,80,17,4,23,多雲,21,17,,多雲。溫度攝氏17至22度。稍有寒意至舒適。偏北風 風速3級(每秒4公尺)。相對濕度80%。,17,22,偏北風,17
后里區,早上, ,18,88,17,8,20,陰時多雲,19,17,4,陰時多雲。溫度攝氏17至19度。稍有寒意。東北風 風速5級(每秒8公尺)。相對濕度88%。,14,19,東北風,16
后里區,夜晚, ,19,84,17,6,21,晴時多雲,21,17,,晴時多雲。溫度攝氏17至21度。稍有寒意至舒適。偏北風 風速4級(每秒6公尺)。相對濕度84%。,14,21,偏北風,16
后里區,早上, ,17,88,16,4,17,多雲時晴,18,16,4,多雲時晴。溫度攝氏16至18度。稍有寒意。偏北風 風速3級(每秒4公尺)。相對濕度88%。,16,18,偏北風,15
后里區,夜晚, ,18,84,16,4,20,多雲時陰,19,16,,多雲時陰。溫度攝氏16至20度。稍有寒意。偏北風 風速3級(每秒4公尺)。相對濕度84%。,16,20,偏北風,15
后里區,早上, ,17,89,16,2,17,多雲,17,16,3,多雲。溫度攝氏16至18度。稍有寒意。偏北風 風速2級(每秒2公尺)。相對濕度89%。,17,18,偏北風,15
后里區,夜晚, ,19,86,16,3,24,多雲時陰,21,16,,多雲時陰。溫度攝氏16至22度。稍有寒意至舒適。偏北風 風速2級(每秒3公尺)。相對濕度86%。,17,22,偏北風,17
后里區,早上, ,16,90,15,3,18,多雲,18,15,3,多雲。溫度攝氏15至18度。寒冷至稍有寒意。偏北風 風速2級(每秒3公尺)。相對濕度90%。,15,18,偏北風,15
北區,夜晚,10,24,73,21,3,28,晴時多雲,24,22,,晴時多雲。降雨機率 10%。溫度攝氏22至25度。舒適。偏北風 風速2級(每秒3公尺)。相對濕度73%。,23,25,偏北風,19
北區,早上,10,20,84,18,2,23,晴時多雲,21,18,4,晴時多雲。降雨機率 10%。溫度攝氏18至22度。稍有寒意至舒適。東北風 風速2級(每秒2公尺)。相對濕度84%。,20,22,東北風,17
北區,夜晚,0,22,76,18,3,27,多雲時晴,23,18,,多雲時晴。降雨機率 0%。溫度攝氏18至25度。稍有寒意至舒適。偏北風 風速2級(每秒3公尺)。相對濕度76%。,20,25,偏北風,18
北區,早上,0,20,88,18,3,22,多雲,21,19,4,多雲。降雨機率 0%。溫度攝氏19至22度。稍有寒意至舒適。偏北風 風速2級(每秒3公尺)。相對濕度88%。,21,22,偏北風,18
北區,夜晚,0,22,78,18,5,26,多雲,23,19,,多雲。降雨機率 0%。溫度攝氏19至24度。稍有寒意至舒適。偏北風 風速3級(每秒5公尺)。相對濕度78%。,20,24,偏北風,18
北區,早上,0,19,83,18,4,20,晴時多雲,20,18,4,晴時多雲。降雨機率 0%。溫度攝氏18至21度。稍有寒意至舒適。偏北風 風速3級(每秒4公尺)。相對濕度83%。,19,21,偏北風,16
北區,夜晚, ,22,73,18,3,26,多雲,23,18,,多雲。溫度攝氏18至25度。稍有寒意至舒適。偏北風 風速2級(每秒3公尺)。相對濕度73%。,18,25,偏北風,17
北區,早上, ,19,83,18,7,22,多雲,20,18,4,多雲。溫度攝氏18至21度。稍有寒意至舒適。東北風 風速4級(每秒7公尺)。相對濕度83%。,16,21,東北風,16
北區,夜晚, ,21,77,18,5,24,晴時多雲,22,18,,晴時多雲。溫度攝氏18至24度。稍有寒意至舒適。偏北風 風速3級(每秒5公尺)。相對濕度77%。,17,24,偏北風,17
北區,早上, ,19,80,17,3,20,晴時多雲,20,18,4,晴時多雲。溫度攝氏18至21度。稍有寒意至舒適。東北風 風速2級(每秒3公尺)。相對濕度80%。,19,21,東北風,15
北區,夜晚, ,20,77,17,3,23,多雲,21,18,,多雲。溫度攝氏18至22度。稍有寒意至舒適。偏北風 風速2級(每秒3公尺)。相對濕度77%。,19,22,偏北風,16
北區,早上, ,18,86,17,2,20,多雲時晴,19,17,3,多雲時晴。溫度攝氏17至20度。稍有寒意。偏北風 風速2級(每秒2公尺)。相對濕度86%。,19,20,偏北風,16
北區,夜晚, ,21,78,17,2,27,多雲,23,17,,多雲。溫度攝氏17至25度。稍有寒意至舒適。偏北風 風速2級(每秒2公尺)。相對濕度78%。,19,25,偏北風,17
北區,早上, ,18,85,16,2,21,多雲,19,17,4,多雲。溫度攝氏17至20度。稍有寒意。偏北風 風速2級(每秒2公尺)。相對濕度85%。,17,20,偏北風,15
太平區,夜晚,10,25,69,21,2,29,晴時多雲,24,22,,晴時多雲。降雨機率 10%。溫度攝氏22至26度。舒適。偏北風 風速2級(每秒2公尺)。相對濕度69%。,24,26,偏北風,18
太平區,早上,10,20,84,18,1,24,晴時多雲,21,18,5,晴時多雲。降雨機率 10%。溫度攝氏18至22度。稍有寒意至舒適。東北風 風速<= 1級(每秒1公尺)。相對濕度84%。,20,22,東北風,17
太平區,夜晚,0,23,73,18,3,27,晴時多雲,23,18,,晴時多雲。降雨機率 0%。溫度攝氏18至26度。稍有寒意至舒適。偏北風 風速2級(每秒3公尺)。相對濕度73%。,20,26,偏北風,17
太平區,早上,0,20,87,18,2,23,多雲,21,18,4,多雲。降雨機率 0%。溫度攝氏18至22度。稍有寒意至舒適。偏北風 風速2級(每秒2公尺)。相對濕度87%。,20,22,偏北風,18
太平區,夜晚,0,22,74,18,6,27,晴時多雲,23,18,,晴時多雲。降雨機率 0%。溫度攝氏18至25度。稍有寒意至舒適。偏北風 風速4級(每秒6公尺)。相對濕度74%。,20,25,偏北風,17
太平區,早上,0,19,83,18,4,21,晴時多雲,20,18,4,晴時多雲。降雨機率 0%。溫度攝氏18至21度。稍有寒意至舒適。東北風 風速3級(每秒4公尺)。相對濕度83%。,19,21,東北風,16
太平區,夜晚, ,22,69,17,3,27,多雲,23,18,,多雲。溫度攝氏18至25度。稍有寒意至舒適。偏北風 風速2級(每秒3公尺)。相對濕度69%。,19,25,偏北風,16
太平區,早上, ,19,83,18,5,23,多雲,21,18,4,多雲。溫度攝氏18至21度。稍有寒意至舒適。東北風 風速3級(每秒5公尺)。相對濕度83%。,17,21,東北風,16
太平區,夜晚, ,22,72,18,4,26,晴時多雲,23,18,,晴時多雲。溫度攝氏18至25度。稍有寒意至舒適。偏北風 風速3級(每秒4公尺)。相對濕度72%。,17,25,偏北風,17
太平區,早上, ,19,79,17,2,22,晴時多雲,20,18,4,晴時多雲。溫度攝氏18至21度。稍有寒意至舒適。東北風 風速2級(每秒2公尺)。相對濕度79%。,19,21,東北風,15
太平區,夜晚, ,21,74,17,3,24,多雲,21,18,,多雲。溫度攝氏18至23度。稍有寒意至舒適。偏北風 風速2級(每秒3公尺)。相對濕度74%。,19,23,偏北風,16
太平區,早上, ,18,85,17,2,21,多雲,19,18,3,多雲。溫度攝氏18至20度。稍有寒意。偏北風 風速2級(每秒2公尺)。相對濕度85%。,19,20,偏北風,16
太平區,夜晚, ,22,75,17,2,28,多雲,23,17,,多雲。溫度攝氏17至25度。稍有寒意至舒適。偏北風 風速2級(每秒2公尺)。相對濕度75%。,19,25,偏北風,17
太平區,早上, ,18,85,17,2,22,多雲,20,17,4,多雲。溫度攝氏17至21度。稍有寒意至舒適。偏北風 風速2級(每秒2公尺)。相對濕度85%。,18,21,偏北風,16
潭子區,夜晚,10,24,73,21,3,28,晴時多雲,24,22,,晴時多雲。降雨機率 10%。溫度攝氏22至26度。舒適。偏北風 風速2級(每秒3公尺)。相對濕度73%。,23,26,偏北風,19
潭子區,早上,10,20,84,18,2,23,晴時多雲,21,19,4,晴時多雲。降雨機率 10%。溫度攝氏19至22度。稍有寒意至舒適。東北風 風速2級(每秒2公尺)。相對濕度84%。,20,22,東北風,17
潭子區,夜晚,0,22,76,18,3,27,多雲時晴,24,18,,多雲時晴。降雨機率 0%。溫度攝氏18至25度。稍有寒意至舒適。偏北風 風速2級(每秒3公尺)。相對濕度76%。,20,25,偏北風,18
潭子區,早上,0,20,91,19,3,23,多雲,21,19,4,多雲。降雨機率 0%。溫度攝氏19至22度。稍有寒意至舒適。偏北風 風速2級(每秒3公尺)。相對濕度91%。,21,22,偏北風,18
潭子區,夜晚,0,22,78,19,6,27,多雲,23,19,,多雲。降雨機率 0%。溫度攝氏19至25度。稍有寒意至舒適。偏北風 風速4級(每秒6公尺)。相對濕度78%。,20,25,偏北風,18
潭子區,早上,0,19,83,18,4,21,晴時多雲,20,18,4,晴時多雲。降雨機率 0%。溫度攝氏18至21度。稍有寒意至舒適。偏北風 風速3級(每秒4公尺)。相對濕度83%。,19,21,偏北風,16
潭子區,夜晚, ,22,73,18,3,26,多雲,23,18,,多雲。溫度攝氏18至25度。稍有寒意至舒適。偏北風 風速2級(每秒3公尺)。相對濕度73%。,18,25,偏北風,17
潭子區,早上, ,19,83,18,7,22,多雲,20,18,4,多雲。溫度攝氏18至21度。稍有寒意至舒適。東北風 風速4級(每秒7公尺)。相對濕度83%。,16,21,東北風,16
潭子區,夜晚, ,21,76,18,5,25,晴時多雲,22,18,,晴時多雲。溫度攝氏18至24度。稍有寒意至舒適。偏北風 風速3級(每秒5公尺)。相對濕度76%。,16,24,偏北風,17
潭子區,早上, ,19,81,17,3,21,晴時多雲,20,18,4,晴時多雲。溫度攝氏18至20度。稍有寒意至舒適。偏北風 風速2級(每秒3公尺)。相對濕度81%。,19,20,偏北風,15
潭子區,夜晚, ,20,77,17,3,23,多雲,21,18,,多雲。溫度攝氏18至22度。稍有寒意至舒適。偏北風 風速2級(每秒3公尺)。相對濕度77%。,18,22,偏北風,16
潭子區,早上, ,18,85,17,2,20,多雲時晴,19,18,3,多雲時晴。溫度攝氏18至20度。稍有寒意。偏北風 風速2級(每秒2公尺)。相對濕度85%。,19,20,偏北風,16
潭子區,夜晚, ,22,77,17,2,27,多雲,23,17,,多雲。溫度攝氏17至25度。稍有寒意至舒適。偏北風 風速2級(每秒2公尺)。相對濕度77%。,19,25,偏北風,17
潭子區,早上, ,18,85,17,2,21,多雲,20,17,4,多雲。溫度攝氏17至20度。稍有寒意至舒適。偏北風 風速2級(每秒2公尺)。相對濕度85%。,18,20,偏北風,16
南屯區,夜晚,10,24,71,21,3,28,晴時多雲,24,22,,晴時多雲。降雨機率 10%。溫度攝氏22至26度。舒適。偏北風 風速2級(每秒3公尺)。相對濕度71%。,23,26,偏北風,19
南屯區,早上,10,20,84,18,2,23,晴時多雲,21,19,4,晴時多雲。降雨機率 10%。溫度攝氏19至22度。稍有寒意至舒適。東北風 風速2級(每秒2公尺)。相對濕度84%。,20,22,東北風,17
