區,時間,12小時降雨機率,平均溫度,平均相對濕度,最小舒適度指數,最大風速,最高體感溫度,天氣現象,最大舒適度指數,最低溫度,紫外線指數,天氣預報綜合描述,最低體感溫度,最高溫度,風向,平均露點溫度
南屯區,夜晚,0,23,74,18,4,27,多雲時晴,23,19,,多雲時晴。降雨機率 0%。溫度攝氏19至25度。稍有寒意至舒適。偏北風 風速3級(每秒4公尺)。相對濕度74%。,20,25,偏北風,18
南屯區,早上,0,21,84,19,3,23,多雲,21,19,4,多雲。降雨機率 0%。溫度攝氏19至22度。稍有寒意至舒適。偏北風 風速2級(每秒3公尺)。相對濕度84%。,21,22,偏北風,18
南屯區,夜晚,0,23,75,19,5,26,多雲,23,19,,多雲。降雨機率 0%。溫度攝氏19至25度。稍有寒意至舒適。偏北風 風速3級(每秒5公尺)。相對濕度75%。,21,25,偏北風,18
南屯區,早上,0,20,80,18,5,21,晴時多雲,21,19,4,晴時多雲。降雨機率 0%。溫度攝氏19至22度。稍有寒意至舒適。偏北風 風速3級(每秒5公尺)。相對濕度80%。,19,22,偏北風,16
南屯區,夜晚, ,22,71,18,4,26,多雲,23,19,,多雲。溫度攝氏19至25度。稍有寒意至舒適。偏北風 風速3級(每秒4公尺)。相對濕度71%。,19,25,偏北風,17
南屯區,早上, ,20,79,18,7,22,多雲,21,19,4,多雲。溫度攝氏19至22度。稍有寒意至舒適。東北風 風速4級(每秒7公尺)。相對濕度79%。,17,22,東北風,16
南屯區,夜晚, ,22,74,18,5,24,晴時多雲,22,19,,晴時多雲。溫度攝氏19至24度。稍有寒意至舒適。偏北風 風速3級(每秒5公尺)。相對濕度74%。,17,24,偏北風,17
南屯區,早上, ,19,77,18,3,21,晴時多雲,20,18,4,晴時多雲。溫度攝氏18至21度。稍有寒意至舒適。東北風 風速2級(每秒3公尺)。相對濕度77%。,19,21,東北風,15
南屯區,夜晚, ,21,73,18,3,24,多雲,21,18,,多雲。溫度攝氏18至23度。稍有寒意至舒適。偏北風 風速2級(每秒3公尺)。相對濕度73%。,19,23,偏北風,16
南屯區,早上, ,19,83,18,3,20,多雲,19,18,3,多雲。溫度攝氏18至20度。稍有寒意。偏北風 風速2級(每秒3公尺)。相對濕度83%。,19,20,偏北風,16
南屯區,夜晚, ,22,75,18,3,27,多雲,23,18,,多雲。溫度攝氏18至25度。稍有寒意至舒適。偏北風 風速2級(每秒3公尺)。相對濕度75%。,19,25,偏北風,17
南屯區,早上, ,19,84,17,3,22,多雲,20,17,4,多雲。溫度攝氏17至21度。稍有寒意至舒適。偏北風 風速2級(每秒3公尺)。相對濕度84%。,18,21,偏北風,16
和平區,夜晚,20,21,77,18,2,26,晴時多雲,22,18,,晴時多雲。降雨機率 20%。溫度攝氏18至23度。稍有寒意至舒適。西北風 風速2級(每秒2公尺)。相對濕度77%。,20,23,西北風,17
和平區,早上,20,16,92,15,1,20,晴時多雲,18,15,5,晴時多雲。降雨機率 20%。溫度攝氏15至18度。寒冷至稍有寒意。東北風 風速<= 1級(每秒1公尺)。相對濕度92%。,16,18,東北風,15
和平區,夜晚,0,20,81,15,3,25,晴時多雲,22,15,,晴時多雲。降雨機率 0%。溫度攝氏15至23度。寒冷至舒適。西北風 風速2級(每秒3公尺)。相對濕度81%。,15,23,西北風,16
和平區,早上,0,16,91,14,2,19,晴時多雲,18,14,5,晴時多雲。降雨機率 0%。溫度攝氏14至18度。寒冷至稍有寒意。東北風 風速2級(每秒2公尺)。相對濕度91%。,15,18,東北風,14
和平區,夜晚,0,19,82,14,3,24,晴時多雲,22,14,,晴時多雲。降雨機率 0%。溫度攝氏14至23度。寒冷至舒適。西北風 風速2級(每秒3公尺)。相對濕度82%。,15,23,西北風,16
和平區,早上,0,15,92,14,2,17,晴時多雲,17,14,5,晴時多雲。降雨機率 0%。溫度攝氏14至17度。寒冷至稍有寒意。東北風 風速2級(每秒2公尺)。相對濕度92%。,14,17,東北風,14
和平區,夜晚, ,19,78,14,2,24,多雲時晴,21,14,,多雲時晴。溫度攝氏14至22度。寒冷至舒適。西北風 風速2級(每秒2公尺)。相對濕度78%。,14,22,西北風,15
和平區,早上, ,15,91,14,2,18,多雲,17,14,5,多雲。溫度攝氏14至17度。寒冷至稍有寒意。東北風 風速2級(每秒2公尺)。相對濕度91%。,14,17,東北風,14
和平區,夜晚, ,19,81,14,2,25,晴時多雲,21,14,,晴時多雲。溫度攝氏14至22度。寒冷至舒適。偏東風 風速2級(每秒2公尺)。相對濕度81%。,14,22,偏東風,15
和平區,早上, ,15,91,14,1,18,晴時多雲,17,14,4,晴時多雲。溫度攝氏14至17度。寒冷至稍有寒意。偏東風 風速<= 1級(每秒1公尺)。相對濕度91%。,15,17,偏東風,14
和平區,夜晚, ,18,84,14,2,23,多雲,20,14,,多雲。溫度攝氏14至21度。寒冷至舒適。東北風 風速2級(每秒2公尺)。相對濕度84%。,15,21,東北風,15
和平區,早上, ,16,91,15,2,18,晴時多雲,17,15,4,晴時多雲。溫度攝氏15至17度。寒冷至稍有寒意。偏北風 風速2級(每秒2公尺)。相對濕度91%。,16,17,偏北風,14
和平區,夜晚, ,19,84,15,2,25,多雲,22,15,,多雲。溫度攝氏15至23度。寒冷至舒適。西北風 風速2級(每秒2公尺)。相對濕度84%。,16,23,西北風,16
和平區,早上, ,15,91,13,2,18,多雲,17,13,4,多雲。溫度攝氏13至17度。寒冷至稍有寒意。東北風 風速2級(每秒2公尺)。相對濕度91%。,14,17,東北風,13
大甲區,夜晚,10,21,82,19,7,22,多雲時晴,21,19,,多雲時晴。降雨機率 10%。溫度攝氏19至22度。稍有寒意至舒適。偏北風 風速4級(每秒7公尺)。相對濕度82%。,18,22,偏北風,18
大甲區,早上,10,18,91,18,5,19,晴時多雲,19,18,4,晴時多雲。降雨機率 10%。溫度攝氏18至19度。稍有寒意。東北風 風速3級(每秒5公尺)。相對濕度91%。,17,19,東北風,17
大甲區,夜晚,10,20,86,17,7,21,陰時多雲,21,18,,陰時多雲。降雨機率 10%。溫度攝氏18至22度。稍有寒意至舒適。偏北風 風速4級(每秒7公尺)。相對濕度86%。,18,22,偏北風,18
大甲區,早上,10,19,89,19,5,20,多雲,20,19,4,多雲。降雨機率 10%。溫度攝氏19至20度。稍有寒意至舒適。東北風 風速3級(每秒5公尺)。相對濕度89%。,19,20,東北風,17
大甲區,夜晚,10,21,86,19,7,21,陰時多雲,21,19,,陰時多雲。降雨機率 10%。溫度攝氏19至22度。稍有寒意至舒適。東北風 風速4級(每秒7公尺)。相對濕度86%。,18,22,東北風,18
大甲區,早上,10,19,84,18,8,18,晴時多雲,19,18,4,晴時多雲。降雨機率 10%。溫度攝氏18至20度。稍有寒意。東北風 風速5級(每秒8公尺)。相對濕度84%。,15,20,東北風,16
大甲區,夜晚, ,21,81,18,8,20,多雲,21,18,,多雲。溫度攝氏18至22度。稍有寒意至舒適。東北風 風速5級(每秒8公尺)。相對濕度81%。,15,22,東北風,17
大甲區,早上, ,19,83,18,10,17,多雲時晴,19,18,4,多雲時晴。溫度攝氏18至20度。稍有寒意。東北風 風速5級(每秒10公尺)。相對濕度83%。,14,20,東北風,16
大甲區,夜晚, ,20,83,18,>= 11,16,晴時多雲,20,18,,晴時多雲。溫度攝氏18至21度。稍有寒意至舒適。東北風 風速>= 6級(每秒12公尺)。相對濕度83%。,14,21,東北風,17
大甲區,早上, ,18,84,17,9,15,多雲時晴,18,17,4,多雲時晴。溫度攝氏17至18度。稍有寒意。東北風 風速5級(每秒9公尺)。相對濕度84%。,13,18,東北風,15
大甲區,夜晚, ,19,84,17,9,17,陰天,19,17,,陰天。溫度攝氏17至20度。稍有寒意。東北風 風速5級(每秒9公尺)。相對濕度84%。,14,20,東北風,16
大甲區,早上, ,17,88,17,7,16,多雲,18,17,3,多雲。溫度攝氏17至18度。稍有寒意。東北風 風速4級(每秒7公尺)。相對濕度88%。,14,18,東北風,15
大甲區,夜晚, ,19,84,17,7,20,多雲,20,17,,多雲。溫度攝氏17至21度。稍有寒意至舒適。東北風 風速4級(每秒7公尺)。相對濕度84%。,16,21,東北風,16
大甲區,早上, ,17,88,17,7,16,多雲,18,17,3,多雲。溫度攝氏17至18度。稍有寒意。東北風 風速4級(每秒7公尺)。相對濕度88%。,14,18,東北風,15
中區,夜晚,10,25,71,21,3,28,晴時多雲,24,22,,晴時多雲。降雨機率 10%。溫度攝氏22至26度。舒適。偏北風 風速2級(每秒3公尺)。相對濕度71%。,23,26,偏北風,19
中區,早上,10,20,83,18,2,23,晴時多雲,21,18,5,晴時多雲。降雨機率 10%。溫度攝氏18至22度。稍有寒意至舒適。東北風 風速2級(每秒2公尺)。相對濕度83%。,20,22,東北風,17
中區,夜晚,0,22,74,18,3,27,多雲時晴,24,18,,多雲時晴。降雨機率 0%。溫度攝氏18至25度。稍有寒意至舒適。偏北風 風速2級(每秒3公尺)。相對濕度74%。,20,25,偏北風,18
中區,早上,0,20,86,18,2,23,多雲,21,19,4,多雲。降雨機率 0%。溫度攝氏19至22度。稍有寒意至舒適。偏北風 風速2級(每秒2公尺)。相對濕度86%。,20,22,偏北風,17
中區,夜晚,0,22,75,18,6,27,多雲,23,18,,多雲。降雨機率 0%。溫度攝氏18至25度。稍有寒意至舒適。偏北風 風速4級(每秒6公尺)。相對濕度75%。,20,25,偏北風,18
中區,早上,0,19,82,18,4,20,晴時多雲,20,18,4,晴時多雲。降雨機率 0%。溫度攝氏18至21度。稍有寒意至舒適。東北風 風速3級(每秒4公尺)。相對濕度82%。,19,21,東北風,16
中區,夜晚, ,22,71,18,4,26,多雲,23,18,,多雲。溫度攝氏18至25度。稍有寒意至舒適。偏北風 風速3級(每秒4公尺)。相對濕度71%。,18,25,偏北風,16
中區,早上, ,19,81,18,6,22,多雲,20,18,4,多雲。溫度攝氏18至21度。稍有寒意至舒適。東北風 風速4級(每秒6公尺)。相對濕度81%。,17,21,東北風,16
中區,夜晚, ,22,75,18,5,25,晴時多雲,23,18,,晴時多雲。溫度攝氏18至24度。稍有寒意至舒適。偏北風 風速3級(每秒5公尺)。相對濕度75%。,17,24,偏北風,17
中區,早上, ,19,78,17,3,20,晴時多雲,20,18,4,晴時多雲。溫度攝氏18至21度。稍有寒意至舒適。東北風 風速2級(每秒3公尺)。相對濕度78%。,18,21,東北風,15
中區,夜晚, ,20,75,17,3,23,多雲,21,18,,多雲。溫度攝氏18至22度。稍有寒意至舒適。偏北風 風速2級(每秒3公尺)。相對濕度75%。,18,22,偏北風,16
中區,早上, ,18,85,17,3,20,多雲時晴,19,17,3,多雲時晴。溫度攝氏17至20度。稍有寒意。偏北風 風速2級(每秒3公尺)。相對濕度85%。,19,20,偏北風,16
中區,夜晚, ,22,76,17,2,27,多雲,23,17,,多雲。溫度攝氏17至25度。稍有寒意至舒適。偏北風 風速2級(每秒2公尺)。相對濕度76%。,19,25,偏北風,17
中區,早上, ,18,84,16,2,21,多雲,20,16,4,多雲。溫度攝氏16至20度。稍有寒意至舒適。偏北風 風速2級(每秒2公尺)。相對濕度84%。,17,20,偏北風,15
烏日區,夜晚,10,25,74,22,3,29,晴時多雲,25,23,,晴時多雲。降雨機率 10%。溫度攝氏23至27度。舒適。偏北風 風速2級(每秒3公尺)。相對濕度74%。,24,27,偏北風,20
烏日區,早上,10,20,86,19,1,24,晴時多雲,22,19,4,晴時多雲。降雨機率 10%。溫度攝氏19至23度。稍有寒意至舒適。東北風 風速<= 1級(每秒1公尺)。相對濕度86%。,21,23,東北風,18
烏日區,夜晚,0,23,77,18,4,28,多雲時晴,24,19,,多雲時晴。降雨機率 0%。溫度攝氏19至26度。稍有寒意至舒適。偏北風 風速3級(每秒4公尺)。相對濕度77%。,21,26,偏北風,19
烏日區,早上,0,21,85,19,2,24,多雲,22,20,4,多雲。降雨機率 0%。溫度攝氏20至23度。稍有寒意至舒適。偏北風 風速2級(每秒2公尺)。相對濕度85%。,22,23,偏北風,18
烏日區,夜晚,0,23,78,19,5,27,陰時多雲,24,20,,陰時多雲。降雨機率 0%。溫度攝氏20至26度。稍有寒意至舒適。偏北風 風速3級(每秒5公尺)。相對濕度78%。,22,26,偏北風,19
烏日區,早上,0,20,82,19,4,22,晴時多雲,21,19,4,晴時多雲。降雨機率 0%。溫度攝氏19至22度。稍有寒意至舒適。偏北風 風速3級(每秒4公尺)。相對濕度82%。,20,22,偏北風,17
烏日區,夜晚, ,23,74,19,4,27,多雲,24,19,,多雲。溫度攝氏19至26度。稍有寒意至舒適。偏北風 風速3級(每秒4公尺)。相對濕度74%。,20,26,偏北風,18
烏日區,早上, ,21,82,19,7,23,多雲,22,19,4,多雲。溫度攝氏19至22度。稍有寒意至舒適。東北風 風速4級(每秒7公尺)。相對濕度82%。,18,22,東北風,17
烏日區,夜晚, ,23,77,19,7,24,晴時多雲,23,19,,晴時多雲。溫度攝氏19至25度。稍有寒意至舒適。偏北風 風速4級(每秒7公尺)。相對濕度77%。,18,25,偏北風,18
烏日區,早上, ,20,81,18,2,22,晴時多雲,21,19,4,晴時多雲。溫度攝氏19至22度。稍有寒意至舒適。東北風 風速2級(每秒2公尺)。相對濕度81%。,20,22,東北風,17
烏日區,夜晚, ,22,76,18,4,25,多雲,22,19,,多雲。溫度攝氏19至24度。稍有寒意至舒適。偏北風 風速3級(每秒4公尺)。相對濕度76%。,20,24,偏北風,17
烏日區,早上, ,19,85,18,2,22,多雲,20,19,3,多雲。溫度攝氏19至21度。稍有寒意至舒適。偏北風 風速2級(每秒2公尺)。相對濕度85%。,20,21,偏北風,17
烏日區,夜晚, ,23,78,18,3,28,多雲,24,18,,多雲。溫度攝氏18至26度。稍有寒意至舒適。偏北風 風速2級(每秒3公尺)。相對濕度78%。,20,26,偏北風,19
烏日區,早上, ,19,86,18,2,23,多雲,21,18,4,多雲。溫度攝氏18至22度。稍有寒意至舒適。偏北風 風速2級(每秒2公尺)。相對濕度86%。,19,22,偏北風,17
沙鹿區,夜晚,10,22,76,19,6,23,晴時多雲,22,19,,晴時多雲。降雨機率 10%。溫度攝氏19至23度。稍有寒意至舒適。偏北風 風速4級(每秒6公尺)。相對濕度76%。,19,23,偏北風,17
沙鹿區,早上,10,18,84,17,3,19,晴時多雲,19,17,4,晴時多雲。降雨機率 10%。溫度攝氏17至19度。稍有寒意。偏北風 風速2級(每秒3公尺)。相對濕度84%。,18,19,偏北風,15
沙鹿區,夜晚,0,20,79,17,6,22,多雲時晴,21,17,,多雲時晴。降雨機率 0%。溫度攝氏17至22度。稍有寒意至舒適。偏北風 風速4級(每秒6公尺)。相對濕度79%。,17,22,偏北風,17
沙鹿區,早上,10,19,84,18,5,19,多雲,19,18,4,多雲。降雨機率 10%。溫度攝氏18至20度。稍有寒意。偏北風 風速3級(每秒5公尺)。相對濕度84%。,18,20,偏北風,16
沙鹿區,夜晚,10,20,80,18,7,21,陰時多雲,21,18,,陰時多雲。降雨機率 10%。溫度攝氏18至22度。稍有寒意至舒適。偏北風 風速4級(每秒7公尺)。相對濕度80%。,18,22,偏北風,17
沙鹿區,早上,10,18,79,17,7,18,晴時多雲,19,18,4,晴時多雲。降雨機率 10%。溫度攝氏18至19度。稍有寒意。偏北風 風速4級(每秒7公尺)。相對濕度79%。,15,19,偏北風,14
沙鹿區,夜晚, ,20,74,17,8,21,多雲,21,17,,多雲。溫度攝氏17至23度。稍有寒意至舒適。偏北風 風速5級(每秒8公尺)。相對濕度74%。,15,23,偏北風,16
沙鹿區,早上, ,19,77,18,9,18,多雲,19,18,4,多雲。溫度攝氏18至20度。稍有寒意。東北風 風速5級(每秒9公尺)。相對濕度77%。,14,20,東北風,15
沙鹿區,夜晚, ,20,76,18,>= 11,17,晴時多雲,20,18,,晴時多雲。溫度攝氏18至21度。稍有寒意至舒適。偏北風 風速>= 6級(每秒11公尺)。相對濕度76%。,14,21,偏北風,15
沙鹿區,早上, ,18,79,17,7,16,多雲時晴,18,17,4,多雲時晴。溫度攝氏17至19度。稍有寒意。東北風 風速4級(每秒7公尺)。相對濕度79%。,15,19,東北風,14
沙鹿區,夜晚, ,19,76,17,8,18,陰天,19,17,,陰天。溫度攝氏17至20度。稍有寒意。偏北風 風速5級(每秒8公尺)。相對濕度76%。,15,20,偏北風,15
沙鹿區,早上, ,17,83,17,5,16,多雲,18,17,3,多雲。溫度攝氏17至18度。稍有寒意。偏北風 風速3級(每秒5公尺)。相對濕度83%。,15,18,偏北風,14
沙鹿區,夜晚, ,19,78,17,6,21,多雲,20,17,,多雲。溫度攝氏17至22度。稍有寒意至舒適。偏北風 風速4級(每秒6公尺)。相對濕度78%。,16,22,偏北風,16
沙鹿區,早上, ,17,83,16,6,17,多雲,18,16,3,多雲。溫度攝氏16至18度。稍有寒意。偏北風 風速4級(每秒6公尺)。相對濕度83%。,14,18,偏北風,14
南區,夜晚,10,25,70,21,2,29,晴時多雲,24,23,,晴時多雲。降雨機率 10%。溫度攝氏23至26度。舒適。偏北風 風速2級(每秒2公尺)。相對濕度70%。,24,26,偏北風,19
南區,早上,10,20,85,19,1,24,晴時多雲,21,19,5,晴時多雲。降雨機率 10%。溫度攝氏19至23度。稍有寒意至舒適。東北風 風速<= 1級(每秒1公尺)。相對濕度85%。,21,23,東北風,18
南區,夜晚,0,23,74,18,3,28,晴時多雲,24,19,,晴時多雲。降雨機率 0%。溫度攝氏19至26度。稍有寒意至舒適。偏北風 風速2級(每秒3公尺)。相對濕度74%。,21,26,偏北風,18
南區,早上,0,21,86,19,2,24,多雲,22,19,4,多雲。降雨機率 0%。溫度攝氏19至23度。稍有寒意至舒適。偏北風 風速2級(每秒2公尺)。相對濕度86%。,21,23,偏北風,18
南區,夜晚,0,23,75,19,5,27,多雲,24,19,,多雲。降雨機率 0%。溫度攝氏19至26度。稍有寒意至舒適。偏北風 風速3級(每秒5公尺)。相對濕度75%。,21,26,偏北風,18
南區,早上,0,20,82,18,4,22,晴時多雲,21,19,4,晴時多雲。降雨機率 0%。溫度攝氏19至22度。稍有寒意至舒適。東北風 風速3級(每秒4公尺)。相對濕度82%。,20,22,東北風,17
南區,夜晚, ,23,70,18,4,27,多雲,23,19,,多雲。溫度攝氏19至26度。稍有寒意至舒適。偏北風 風速3級(每秒4公尺)。相對濕度70%。,20,26,偏北風,17
南區,早上, ,20,81,19,6,23,多雲,21,19,4,多雲。溫度攝氏19至22度。稍有寒意至舒適。東北風 風速4級(每秒6公尺)。相對濕度81%。,18,22,東北風,17
南區,夜晚, ,22,74,19,4,26,晴時多雲,23,19,,晴時多雲。溫度攝氏19至25度。稍有寒意至舒適。偏北風 風速3級(每秒4公尺)。相對濕度74%。,18,25,偏北風,18
南區,早上, ,20,78,18,3,22,晴時多雲,21,19,4,晴時多雲。溫度攝氏19至22度。稍有寒意至舒適。東北風 風速2級(每秒3公尺)。相對濕度78%。,20,22,東北風,16
南區,夜晚, ,21,74,18,3,24,多雲,21,19,,多雲。溫度攝氏19至23度。稍有寒意至舒適。偏北風 風速2級(每秒3公尺)。相對濕度74%。,20,23,偏北風,16
南區,早上, ,19,85,18,2,21,多雲,20,18,3,多雲。溫度攝氏18至21度。稍有寒意至舒適。偏北風 風速2級(每秒2公尺)。相對濕度85%。,20,21,偏北風,16
南區,夜晚, ,22,76,18,2,28,多雲,24,18,,多雲。溫度攝氏18至26度。稍有寒意至舒適。偏北風 風速2級(每秒2公尺)。相對濕度76%。,20,26,偏北風,18
南區,早上, ,19,85,17,2,23,多雲,20,18,4,多雲。溫度攝氏18至22度。稍有寒意至舒適。偏北風 風速2級(每秒2公尺)。相對濕度85%。,19,22,偏北風,16
龍井區,夜晚,10,22,76,19,7,23,晴時多雲,22,20,,晴時多雲。降雨機率 10%。溫度攝氏20至23度。稍有寒意至舒適。偏北風 風速4級(每秒7公尺)。相對濕度76%。,19,23,偏北風,18
龍井區,早上,10,19,87,18,4,20,晴時多雲,19,18,4,晴時多雲。降雨機率 10%。溫度攝氏18至20度。稍有寒意。東北風 風速3級(每秒4公尺)。相對濕度87%。,18,20,東北風,17
龍井區,夜晚,0,21,81,18,7,22,多雲,22,18,,多雲。降雨機率 0%。溫度攝氏18至23度。稍有寒意至舒適。偏北風 風速4級(每秒7公尺)。相對濕度81%。,18,23,偏北風,17
龍井區,早上,10,20,86,19,5,20,多雲,20,19,4,多雲。降雨機率 10%。溫度攝氏19至21度。稍有寒意至舒適。偏北風 風速3級(每秒5公尺)。相對濕度86%。,19,21,偏北風,17
龍井區,夜晚,10,21,82,19,8,21,多雲,21,19,,多雲。降雨機率 10%。溫度攝氏19至22度。稍有寒意至舒適。偏北風 風速5級(每秒8公尺)。相對濕度82%。,18,22,偏北風,18
