區,時間,12小時降雨機率,平均溫度,平均相對濕度,最小舒適度指數,最大風速,最高體感溫度,天氣現象,最大舒適度指數,最低溫度,紫外線指數,天氣預報綜合描述,最低體感溫度,最高溫度,風向,平均露點溫度
龍井區,早上,10,19,81,18,7,18,晴時多雲,19,18,4,晴時多雲。降雨機率 10%。溫度攝氏18至20度。稍有寒意。偏北風 風速4級(每秒7公尺)。相對濕度81%。,16,20,偏北風,16
龍井區,夜晚, ,21,74,18,8,20,多雲,21,18,,多雲。溫度攝氏18至23度。稍有寒意至舒適。偏北風 風速5級(每秒8公尺)。相對濕度74%。,15,23,偏北風,16
龍井區,早上, ,19,79,18,>= 11,19,多雲,20,19,4,多雲。溫度攝氏19至21度。稍有寒意至舒適。東北風 風速>= 6級(每秒11公尺)。相對濕度79%。,14,21,東北風,16
龍井區,夜晚, ,20,76,18,>= 11,17,晴時多雲,21,19,,晴時多雲。溫度攝氏19至22度。稍有寒意至舒適。偏北風 風速>= 6級(每秒12公尺)。相對濕度76%。,14,22,偏北風,16
龍井區,早上, ,18,81,17,8,16,多雲時晴,19,18,4,多雲時晴。溫度攝氏18至19度。稍有寒意。東北風 風速5級(每秒8公尺)。相對濕度81%。,15,19,東北風,15
龍井區,夜晚, ,19,76,17,9,18,陰天,20,17,,陰天。溫度攝氏17至21度。稍有寒意至舒適。偏北風 風速5級(每秒9公尺)。相對濕度76%。,15,21,偏北風,15
龍井區,早上, ,18,85,17,6,17,多雲,18,17,3,多雲。溫度攝氏17至19度。稍有寒意。偏北風 風速4級(每秒6公尺)。相對濕度85%。,16,19,偏北風,15
龍井區,夜晚, ,20,79,17,7,21,多雲,21,17,,多雲。溫度攝氏17至22度。稍有寒意至舒適。偏北風 風速4級(每秒7公尺)。相對濕度79%。,17,22,偏北風,16
龍井區,早上, ,18,85,17,6,17,多雲,19,17,3,多雲。溫度攝氏17至19度。稍有寒意。偏北風 風速4級(每秒6公尺)。相對濕度85%。,15,19,偏北風,15
石岡區,夜晚,10,21,91,18,3,26,多雲時晴,23,19,,多雲時晴。降雨機率 10%。溫度攝氏19至23度。稍有寒意至舒適。偏北風 風速2級(每秒3公尺)。相對濕度91%。,20,23,偏北風,20
石岡區,早上,10,17,97,16,1,20,晴時多雲,18,16,5,晴時多雲。降雨機率 10%。溫度攝氏16至19度。稍有寒意。東北風 風速<= 1級(每秒1公尺)。相對濕度97%。,17,19,東北風,16
石岡區,夜晚,0,20,92,16,3,25,多雲時晴,22,16,,多雲時晴。降雨機率 0%。溫度攝氏16至23度。稍有寒意至舒適。偏北風 風速2級(每秒3公尺)。相對濕度92%。,17,23,偏北風,18
石岡區,早上,0,17,98,16,2,19,多雲,18,16,5,多雲。降雨機率 0%。溫度攝氏16至19度。稍有寒意。偏北風 風速2級(每秒2公尺)。相對濕度98%。,17,19,偏北風,17
石岡區,夜晚,0,19,93,16,6,24,多雲,22,16,,多雲。降雨機率 0%。溫度攝氏16至22度。稍有寒意至舒適。偏北風 風速4級(每秒6公尺)。相對濕度93%。,17,22,偏北風,18
石岡區,早上,0,17,97,16,4,17,晴時多雲,18,16,4,晴時多雲。降雨機率 0%。溫度攝氏16至18度。稍有寒意。偏北風 風速3級(每秒4公尺)。相對濕度97%。,16,18,偏北風,16
石岡區,夜晚, ,19,91,16,3,24,多雲,21,16,,多雲。溫度攝氏16至22度。稍有寒意至舒適。偏北風 風速2級(每秒3公尺)。相對濕度91%。,16,22,偏北風,18
石岡區,早上, ,16,97,15,6,19,多雲,18,15,4,多雲。溫度攝氏15至18度。寒冷至稍有寒意。東北風 風速4級(每秒6公尺)。相對濕度97%。,14,18,東北風,16
石岡區,夜晚, ,19,93,15,4,22,晴時多雲,21,15,,晴時多雲。溫度攝氏15至21度。寒冷至舒適。偏北風 風速3級(每秒4公尺)。相對濕度93%。,14,21,偏北風,17
石岡區,早上, ,16,97,15,3,17,晴時多雲,17,15,4,晴時多雲。溫度攝氏15至17度。寒冷至稍有寒意。東北風 風速2級(每秒3公尺)。相對濕度97%。,16,17,東北風,15
石岡區,夜晚, ,18,94,15,3,21,多雲,19,15,,多雲。溫度攝氏15至20度。寒冷至稍有寒意。偏北風 風速2級(每秒3公尺)。相對濕度94%。,16,20,偏北風,17
石岡區,早上, ,16,98,15,2,18,多雲,17,15,3,多雲。溫度攝氏15至17度。寒冷至稍有寒意。偏北風 風速2級(每秒2公尺)。相對濕度98%。,16,17,偏北風,16
石岡區,夜晚, ,19,93,15,2,24,多雲時陰,22,15,,多雲時陰。溫度攝氏15至22度。寒冷至舒適。西北風 風速2級(每秒2公尺)。相對濕度93%。,16,22,西北風,18
石岡區,早上, ,15,98,14,2,18,晴時多雲,17,14,4,晴時多雲。溫度攝氏14至17度。寒冷至稍有寒意。偏北風 風速2級(每秒2公尺)。相對濕度98%。,14,17,偏北風,15
東勢區,夜晚,10,22,80,18,2,26,多雲時晴,22,19,,多雲時晴。降雨機率 10%。溫度攝氏19至24度。稍有寒意至舒適。偏北風 風速2級(每秒2公尺)。相對濕度80%。,20,24,偏北風,18
東勢區,早上,10,17,88,16,1,20,晴時多雲,18,16,5,晴時多雲。降雨機率 10%。溫度攝氏16至19度。稍有寒意。東北風 風速<= 1級(每秒1公尺)。相對濕度88%。,17,19,東北風,15
東勢區,夜晚,0,20,81,16,3,25,多雲時晴,22,16,,多雲時晴。降雨機率 0%。溫度攝氏16至23度。稍有寒意至舒適。偏北風 風速2級(每秒3公尺)。相對濕度81%。,17,23,偏北風,17
東勢區,早上,0,17,91,16,2,20,多雲,18,16,5,多雲。降雨機率 0%。溫度攝氏16至19度。稍有寒意。東北風 風速2級(每秒2公尺)。相對濕度91%。,17,19,東北風,16
東勢區,夜晚,0,20,82,16,5,24,多雲時晴,22,16,,多雲時晴。降雨機率 0%。溫度攝氏16至23度。稍有寒意至舒適。偏北風 風速3級(每秒5公尺)。相對濕度82%。,17,23,偏北風,17
東勢區,早上,0,16,90,15,4,17,晴時多雲,18,15,4,晴時多雲。降雨機率 0%。溫度攝氏15至18度。寒冷至稍有寒意。東北風 風速3級(每秒4公尺)。相對濕度90%。,16,18,東北風,15
東勢區,夜晚, ,19,80,15,3,24,多雲,21,15,,多雲。溫度攝氏15至22度。寒冷至舒適。偏北風 風速2級(每秒3公尺)。相對濕度80%。,16,22,偏北風,16
東勢區,早上, ,16,92,15,5,19,多雲,17,15,4,多雲。溫度攝氏15至18度。寒冷至稍有寒意。東北風 風速3級(每秒5公尺)。相對濕度92%。,14,18,東北風,15
東勢區,夜晚, ,19,82,15,4,23,晴時多雲,21,15,,晴時多雲。溫度攝氏15至22度。寒冷至舒適。偏北風 風速3級(每秒4公尺)。相對濕度82%。,14,22,偏北風,16
東勢區,早上, ,16,90,15,3,17,晴時多雲,17,15,4,晴時多雲。溫度攝氏15至17度。寒冷至稍有寒意。東北風 風速2級(每秒3公尺)。相對濕度90%。,15,17,東北風,14
東勢區,夜晚, ,18,84,15,3,22,多雲,20,15,,多雲。溫度攝氏15至20度。寒冷至舒適。偏北風 風速2級(每秒3公尺)。相對濕度84%。,15,20,偏北風,15
東勢區,早上, ,16,92,16,2,17,多雲時晴,17,16,3,多雲時晴。溫度攝氏16至17度。稍有寒意。偏北風 風速2級(每秒2公尺)。相對濕度92%。,16,17,偏北風,15
東勢區,夜晚, ,19,83,16,2,25,多雲時陰,22,16,,多雲時陰。溫度攝氏16至23度。稍有寒意至舒適。西北風 風速2級(每秒2公尺)。相對濕度83%。,16,23,西北風,17
東勢區,早上, ,15,91,14,2,18,晴時多雲,17,14,4,晴時多雲。溫度攝氏14至17度。寒冷至稍有寒意。偏北風 風速2級(每秒2公尺)。相對濕度91%。,15,17,偏北風,14
北屯區,夜晚,10,24,73,21,3,28,晴時多雲,24,22,,晴時多雲。降雨機率 10%。溫度攝氏22至25度。舒適。偏北風 風速2級(每秒3公尺)。相對濕度73%。,23,25,偏北風,19
北屯區,早上,10,20,84,18,2,23,晴時多雲,21,18,4,晴時多雲。降雨機率 10%。溫度攝氏18至22度。稍有寒意至舒適。東北風 風速2級(每秒2公尺)。相對濕度84%。,20,22,東北風,17
北屯區,夜晚,0,22,76,18,3,27,多雲時晴,23,18,,多雲時晴。降雨機率 0%。溫度攝氏18至25度。稍有寒意至舒適。偏北風 風速2級(每秒3公尺)。相對濕度76%。,20,25,偏北風,18
北屯區,早上,0,20,88,18,3,22,多雲,21,19,4,多雲。降雨機率 0%。溫度攝氏19至22度。稍有寒意至舒適。偏北風 風速2級(每秒3公尺)。相對濕度88%。,21,22,偏北風,18
北屯區,夜晚,0,22,78,18,5,26,多雲,23,19,,多雲。降雨機率 0%。溫度攝氏19至24度。稍有寒意至舒適。偏北風 風速3級(每秒5公尺)。相對濕度78%。,20,24,偏北風,18
北屯區,早上,0,19,83,18,4,20,晴時多雲,20,18,4,晴時多雲。降雨機率 0%。溫度攝氏18至21度。稍有寒意至舒適。偏北風 風速3級(每秒4公尺)。相對濕度83%。,19,21,偏北風,16
北屯區,夜晚, ,22,73,18,3,26,多雲,23,18,,多雲。溫度攝氏18至25度。稍有寒意至舒適。偏北風 風速2級(每秒3公尺)。相對濕度73%。,18,25,偏北風,17
北屯區,早上, ,19,83,18,7,22,多雲,20,18,4,多雲。溫度攝氏18至21度。稍有寒意至舒適。東北風 風速4級(每秒7公尺)。相對濕度83%。,16,21,東北風,16
北屯區,夜晚, ,21,77,18,5,24,晴時多雲,22,18,,晴時多雲。溫度攝氏18至24度。稍有寒意至舒適。偏北風 風速3級(每秒5公尺)。相對濕度77%。,17,24,偏北風,17
北屯區,早上, ,19,80,17,3,20,晴時多雲,20,18,4,晴時多雲。溫度攝氏18至21度。稍有寒意至舒適。東北風 風速2級(每秒3公尺)。相對濕度80%。,19,21,東北風,15
北屯區,夜晚, ,20,77,17,3,23,多雲,21,18,,多雲。溫度攝氏18至22度。稍有寒意至舒適。偏北風 風速2級(每秒3公尺)。相對濕度77%。,19,22,偏北風,16
北屯區,早上, ,18,86,17,2,20,多雲時晴,19,17,3,多雲時晴。溫度攝氏17至20度。稍有寒意。偏北風 風速2級(每秒2公尺)。相對濕度86%。,19,20,偏北風,16
北屯區,夜晚, ,21,78,17,2,27,多雲,23,17,,多雲。溫度攝氏17至25度。稍有寒意至舒適。偏北風 風速2級(每秒2公尺)。相對濕度78%。,19,25,偏北風,17
北屯區,早上, ,18,85,16,2,21,多雲,19,17,4,多雲。溫度攝氏17至20度。稍有寒意。偏北風 風速2級(每秒2公尺)。相對濕度85%。,17,20,偏北風,15
西區,夜晚,10,25,70,21,3,28,晴時多雲,24,22,,晴時多雲。降雨機率 10%。溫度攝氏22至26度。舒適。偏北風 風速2級(每秒3公尺)。相對濕度70%。,23,26,偏北風,19
西區,早上,10,20,84,18,2,23,晴時多雲,21,19,5,晴時多雲。降雨機率 10%。溫度攝氏19至22度。稍有寒意至舒適。東北風 風速2級(每秒2公尺)。相對濕度84%。,21,22,東北風,17
西區,夜晚,0,23,74,18,3,27,多雲時晴,24,19,,多雲時晴。降雨機率 0%。溫度攝氏19至26度。稍有寒意至舒適。偏北風 風速2級(每秒3公尺)。相對濕度74%。,20,26,偏北風,18
西區,早上,0,20,85,19,3,23,多雲,21,19,4,多雲。降雨機率 0%。溫度攝氏19至22度。稍有寒意至舒適。偏北風 風速2級(每秒3公尺)。相對濕度85%。,21,22,偏北風,18
西區,夜晚,0,23,75,19,6,27,多雲,23,19,,多雲。降雨機率 0%。溫度攝氏19至25度。稍有寒意至舒適。偏北風 風速4級(每秒6公尺)。相對濕度75%。,21,25,偏北風,18
西區,早上,0,20,81,18,5,21,晴時多雲,21,19,4,晴時多雲。降雨機率 0%。溫度攝氏19至22度。稍有寒意至舒適。東北風 風速3級(每秒5公尺)。相對濕度81%。,19,22,東北風,16
西區,夜晚, ,22,70,18,3,27,多雲,23,19,,多雲。溫度攝氏19至25度。稍有寒意至舒適。偏北風 風速2級(每秒3公尺)。相對濕度70%。,19,25,偏北風,17
西區,早上, ,20,80,18,6,23,多雲,21,19,4,多雲。溫度攝氏19至22度。稍有寒意至舒適。東北風 風速4級(每秒6公尺)。相對濕度80%。,17,22,東北風,17
西區,夜晚, ,22,74,18,5,25,晴時多雲,23,19,,晴時多雲。溫度攝氏19至24度。稍有寒意至舒適。偏北風 風速3級(每秒5公尺)。相對濕度74%。,18,24,偏北風,17
西區,早上, ,19,77,18,3,21,晴時多雲,20,18,4,晴時多雲。溫度攝氏18至21度。稍有寒意至舒適。東北風 風速2級(每秒3公尺)。相對濕度77%。,19,21,東北風,15
西區,夜晚, ,21,73,18,3,24,多雲,21,18,,多雲。溫度攝氏18至23度。稍有寒意至舒適。偏北風 風速2級(每秒3公尺)。相對濕度73%。,19,23,偏北風,16
西區,早上, ,19,84,18,3,20,多雲,19,18,3,多雲。溫度攝氏18至20度。稍有寒意。偏北風 風速2級(每秒3公尺)。相對濕度84%。,19,20,偏北風,16
西區,夜晚, ,22,75,18,2,28,多雲,23,18,,多雲。溫度攝氏18至25度。稍有寒意至舒適。偏北風 風速2級(每秒2公尺)。相對濕度75%。,19,25,偏北風,17
西區,早上, ,19,84,17,2,22,多雲,20,17,4,多雲。溫度攝氏17至21度。稍有寒意至舒適。偏北風 風速2級(每秒2公尺)。相對濕度84%。,18,21,偏北風,16
霧峰區,夜晚,10,24,68,20,2,28,晴時多雲,24,21,,晴時多雲。降雨機率 10%。溫度攝氏21至26度。舒適。偏北風 風速2級(每秒2公尺)。相對濕度68%。,23,26,偏北風,18
霧峰區,早上,10,19,86,17,1,23,晴時多雲,20,17,5,晴時多雲。降雨機率 10%。溫度攝氏17至21度。稍有寒意至舒適。偏東風 風速<= 1級(每秒1公尺)。相對濕度86%。,19,21,偏東風,16
霧峰區,夜晚,0,22,72,17,3,28,晴時多雲,23,17,,晴時多雲。降雨機率 0%。溫度攝氏17至26度。稍有寒意至舒適。偏北風 風速2級(每秒3公尺)。相對濕度72%。,19,26,偏北風,17
霧峰區,早上,0,19,88,17,1,22,多雲,21,17,4,多雲。降雨機率 0%。溫度攝氏17至21度。稍有寒意至舒適。東北風 風速<= 1級(每秒1公尺)。相對濕度88%。,19,21,東北風,17
霧峰區,夜晚,0,22,73,17,5,27,晴時多雲,23,17,,晴時多雲。降雨機率 0%。溫度攝氏17至25度。稍有寒意至舒適。偏北風 風速3級(每秒5公尺)。相對濕度73%。,19,25,偏北風,17
霧峰區,早上,0,18,86,17,3,20,晴時多雲,20,17,4,晴時多雲。降雨機率 0%。溫度攝氏17至21度。稍有寒意至舒適。東北風 風速2級(每秒3公尺)。相對濕度86%。,17,21,東北風,16
霧峰區,夜晚, ,22,69,16,3,26,多雲,22,17,,多雲。溫度攝氏17至25度。稍有寒意至舒適。偏北風 風速2級(每秒3公尺)。相對濕度69%。,17,25,偏北風,15
霧峰區,早上, ,19,85,17,3,22,多雲,20,18,5,多雲。溫度攝氏18至21度。稍有寒意至舒適。東北風 風速2級(每秒3公尺)。相對濕度85%。,18,21,東北風,16
霧峰區,夜晚, ,22,72,17,3,26,晴時多雲,23,18,,晴時多雲。溫度攝氏18至25度。稍有寒意至舒適。偏北風 風速2級(每秒3公尺)。相對濕度72%。,18,25,偏北風,16
霧峰區,早上, ,19,82,17,1,22,晴時多雲,20,17,4,晴時多雲。溫度攝氏17至21度。稍有寒意至舒適。東北風 風速<= 1級(每秒1公尺)。相對濕度82%。,19,21,東北風,15
霧峰區,夜晚, ,20,73,17,2,24,多雲,21,17,,多雲。溫度攝氏17至22度。稍有寒意至舒適。偏北風 風速2級(每秒2公尺)。相對濕度73%。,19,22,偏北風,15
霧峰區,早上, ,18,86,17,2,20,多雲,19,17,4,多雲。溫度攝氏17至19度。稍有寒意。偏北風 風速2級(每秒2公尺)。相對濕度86%。,18,19,偏北風,15
霧峰區,夜晚, ,22,76,17,2,28,多雲,23,17,,多雲。溫度攝氏17至25度。稍有寒意至舒適。偏北風 風速2級(每秒2公尺)。相對濕度76%。,18,25,偏北風,17
霧峰區,早上, ,18,86,16,1,22,多雲,20,16,4,多雲。溫度攝氏16至21度。稍有寒意至舒適。東北風 風速<= 1級(每秒1公尺)。相對濕度86%。,17,21,東北風,15
神岡區,夜晚,10,22,84,19,4,25,多雲時晴,22,19,,多雲時晴。降雨機率 10%。溫度攝氏19至23度。稍有寒意至舒適。偏北風 風速3級(每秒4公尺)。相對濕度84%。,20,23,偏北風,19
神岡區,早上,10,18,92,17,2,20,晴時多雲,19,17,4,晴時多雲。降雨機率 10%。溫度攝氏17至19度。稍有寒意。東北風 風速2級(每秒2公尺)。相對濕度92%。,18,19,東北風,16
神岡區,夜晚,0,20,86,17,5,24,多雲時晴,22,17,,多雲時晴。降雨機率 0%。溫度攝氏17至23度。稍有寒意至舒適。偏北風 風速3級(每秒5公尺)。相對濕度86%。,18,23,偏北風,18
神岡區,早上,0,19,93,18,3,20,多雲,19,18,4,多雲。降雨機率 0%。溫度攝氏18至20度。稍有寒意。偏北風 風速2級(每秒3公尺)。相對濕度93%。,19,20,偏北風,17
神岡區,夜晚,0,20,88,18,5,23,陰時多雲,21,18,,陰時多雲。降雨機率 0%。溫度攝氏18至22度。稍有寒意至舒適。偏北風 風速3級(每秒5公尺)。相對濕度88%。,18,22,偏北風,18
神岡區,早上,0,18,89,17,5,18,晴時多雲,19,17,4,晴時多雲。降雨機率 0%。溫度攝氏17至19度。稍有寒意。偏北風 風速3級(每秒5公尺)。相對濕度89%。,16,19,偏北風,16
神岡區,夜晚, ,20,82,17,5,22,多雲,21,17,,多雲。溫度攝氏17至23度。稍有寒意至舒適。偏北風 風速3級(每秒5公尺)。相對濕度82%。,16,23,偏北風,17
神岡區,早上, ,18,89,17,8,19,多雲時陰,19,17,4,多雲時陰。溫度攝氏17至19度。稍有寒意。東北風 風速5級(每秒8公尺)。相對濕度89%。,14,19,東北風,16
神岡區,夜晚, ,19,86,17,7,20,晴時多雲,21,17,,晴時多雲。溫度攝氏17至21度。稍有寒意至舒適。偏北風 風速4級(每秒7公尺)。相對濕度86%。,14,21,偏北風,17
神岡區,早上, ,17,89,16,5,17,多雲時晴,18,16,4,多雲時晴。溫度攝氏16至18度。稍有寒意。東北風 風速3級(每秒5公尺)。相對濕度89%。,16,18,東北風,15
神岡區,夜晚, ,18,86,16,5,20,陰時多雲,19,16,,陰時多雲。溫度攝氏16至20度。稍有寒意。偏北風 風速3級(每秒5公尺)。相對濕度86%。,16,20,偏北風,16
神岡區,早上, ,17,91,16,3,17,多雲,18,16,3,多雲。溫度攝氏16至18度。稍有寒意。偏北風 風速2級(每秒3公尺)。相對濕度91%。,17,18,偏北風,15
神岡區,夜晚, ,20,87,16,4,23,多雲,21,16,,多雲。溫度攝氏16至22度。稍有寒意至舒適。偏北風 風速3級(每秒4公尺)。相對濕度87%。,17,22,偏北風,17
神岡區,早上, ,17,91,16,4,18,多雲,18,16,3,多雲。溫度攝氏16至18度。稍有寒意。偏北風 風速3級(每秒4公尺)。相對濕度91%。,15,18,偏北風,15
西屯區,夜晚,10,24,72,21,3,28,晴時多雲,24,22,,晴時多雲。降雨機率 10%。溫度攝氏22至25度。舒適。偏北風 風速2級(每秒3公尺)。相對濕度72%。,23,25,偏北風,19
西屯區,早上,10,20,85,18,2,23,晴時多雲,21,18,4,晴時多雲。降雨機率 10%。溫度攝氏18至22度。稍有寒意至舒適。東北風 風速2級(每秒2公尺)。相對濕度85%。,20,22,東北風,17
西屯區,夜晚,0,22,76,18,3,27,多雲時晴,23,18,,多雲時晴。降雨機率 0%。溫度攝氏18至25度。稍有寒意至舒適。偏北風 風速2級(每秒3公尺)。相對濕度76%。,20,25,偏北風,18
西屯區,早上,0,20,85,19,3,23,多雲,21,19,4,多雲。降雨機率 0%。溫度攝氏19至22度。稍有寒意至舒適。偏北風 風速2級(每秒3公尺)。相對濕度85%。,21,22,偏北風,18
西屯區,夜晚,0,22,77,19,5,26,多雲,23,19,,多雲。降雨機率 0%。溫度攝氏19至24度。稍有寒意至舒適。偏北風 風速3級(每秒5公尺)。相對濕度77%。,21,24,偏北風,18
西屯區,早上,0,20,81,18,4,21,晴時多雲,20,19,4,晴時多雲。降雨機率 0%。溫度攝氏19至21度。稍有寒意至舒適。偏北風 風速3級(每秒4公尺)。相對濕度81%。,19,21,偏北風,16
西屯區,夜晚, ,22,72,18,4,26,多雲,23,19,,多雲。溫度攝氏19至25度。稍有寒意至舒適。偏北風 風速3級(每秒4公尺)。相對濕度72%。,18,25,偏北風,17
西屯區,早上, ,20,81,18,7,22,多雲,21,19,4,多雲。溫度攝氏19至21度。稍有寒意至舒適。東北風 風速4級(每秒7公尺)。相對濕度81%。,16,21,東北風,16
西屯區,夜晚, ,21,76,18,5,24,晴時多雲,22,19,,晴時多雲。溫度攝氏19至24度。稍有寒意至舒適。偏北風 風速3級(每秒5公尺)。相對濕度76%。,17,24,偏北風,17
